gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
TMCC1,-0.4811414175381274,1.0561769276331682e-10,3.927740492938067e-10,9.405857213911583,Not Significant
TMCC2,-2.033606650344561,1.7845909737362382e-19,7.378995789678125e-18,17.132002737455576,Down
TMCC3,0.30305945310419236,0.015476907470613005,0.020701507306811973,1.683998031779862,Not Significant
TMCO1,0.6298192788308944,2.7774010910016036e-11,1.126655025574267e-10,9.948209041739325,Not Significant
TMCO3,0.8852055490629358,0.0006060873765140427,0.0009704297034509569,3.0130359188114997,Not Significant
TMCO4,1.002200745949291,2.851985437750861e-06,6.055960102315119e-06,5.217816994703734,Up
TMED1,1.079117683149858,1.1989632278812341e-08,3.445612434846982e-08,7.462733573920264,Up
TMED10,0.7471854540884243,2.7995206877255746e-10,9.911636339637928e-10,9.003854640710468,Not Significant
TMED2,-0.10643045379034298,0.6281833304157882,0.6612155209119163,0.17965696065520884,Not Significant
TMED3,0.6274422903875801,6.527235823176857e-07,1.5038069429714012e-06,5.8228079143985365,Not Significant
TMED4,0.7531268935355144,6.475753700819116e-08,1.7047577205823515e-07,6.76833733402677,Not Significant
TMED5,0.5088771938476304,5.904464722418549e-05,0.00010664510375785994,3.9720590788901844,Not Significant
TMED7,1.2641941460032438,1.289919670296775e-12,6.348356429370748e-12,11.197338697707467,Up
TMED8,-1.2402428189806927,5.0802826251864877e-17,6.797000237219299e-16,15.167682714920605,Down
TMED9,0.579664993116695,1.3053595680473203e-09,4.218406626452827e-09,8.374851559467784,Not Significant
TMEFF1,-2.416680376302546,3.9927075333034557e-13,2.121495289135052e-12,11.673357928264522,Down
TMEFF2,-3.10118781640835,3.680334453296262e-14,2.3416015479438136e-13,12.630487003478589,Down
TMEM100,1.180685539536524,0.0006871017067016784,0.001092748917503097,2.9614796150580895,Up
TMEM101,0.10902243210875508,0.13717975135695706,0.16165561325422462,0.7914092105512796,Not Significant
