Gene Symbol,GSM97800,GSM97803,GSM97804,GSM97805,GSM97807,GSM97809,GSM97811,GSM97812,GSM97816,GSM97817,GSM97820,GSM97825,GSM97827,GSM97828,GSM97833,GSM97834,GSM97840,GSM97846,GSM97848,GSM97849,GSM97850,GSM97853,GSM97855
ABCB10,9.038644686593331,9.067434360756522,8.404290064444837,8.9413411054853,9.401092836924668,9.046578366620329,9.147204924942228,9.093285503877924,9.353146825498083,8.843921051289035,9.120497098444245,9.145167939018386,9.192046178853294,9.446669787307012,9.366322214245816,9.038644686593331,9.307656205306488,9.193278935521388,9.370033469329424,9.253847484987404,9.173177415120422,9.316734070972293,9.460865403845991
ABCB11,6.83541884047548,5.277984747299765,6.881419908092401,6.419538891513785,5.738767836800192,5.584962500721156,3.7441610955704103,4.350497247084133,4.112700132749362,5.738767836800192,4.412781525338476,6.726558779104974,5.680886920719692,4.791814071161826,4.572889668420581,5.7865963618908065,4.572889668420581,5.82781902461732,5.048759311919856,4.529820946528695,5.141596278383818,4.405992359675837,5.832890014164741
ABCB4,8.381110294099054,8.867896463992654,8.214319120800766,8.725195817226663,8.745842362560461,8.474111513942407,8.868513923895463,8.29232163280204,7.940166750482817,8.638435913990472,8.760220946466509,8.627898615871748,8.561478891501007,8.086932341137398,8.666756591884804,8.483412733529022,8.767853393466636,8.256444596473443,8.77840572423918,8.640244936222345,8.813460556691684,8.628992257142734,8.5239539394967
ABCB5,6.903279342056139,6.518849828707692,7.073606040574941,6.904484097901423,6.257387842692652,6.461070114033051,7.148730779173189,5.965784284662087,5.361066488794321,7.026800059343715,7.184875342908284,6.756222712847288,6.829088444004886,6.139551352398794,6.343407822297814,6.900866807980749,7.134426320220926,6.746850183098051,5.129283016944966,5.7251958172266635,6.323730337521348,7.257387842692652,6.236492618381302
ABCB6,9.379161729929795,8.982423226775877,8.72075727733199,8.688600010999123,9.496654082593496,8.891479945970975,9.241506540822835,9.46454575033394,9.535275376620802,9.170926525287385,9.425635535367755,9.121792505769214,8.843607046490561,8.868822554774999,9.146695948030656,9.366103607526572,9.04494049127973,9.354249381945241,9.306289585336073,8.829088444004885,9.266552317942395,9.162139527544836,8.863876520221096
ABCB7,7.2761244052742375,7.80025280637239,7.9277779620823425,7.764871590736091,8.482202926295955,8.170926525287385,7.973266860993293,8.128767676685552,8.725195817226663,7.8697480514650655,8.24269776790801,7.727239777484807,7.615445725304786,8.953323448582964,8.329572125765376,7.605109073832932,8.600656307826302,7.911092331587135,7.861707286585856,8.006185799946294,8.380677507222886,8.015693807105146,8.378945060252901
ABCB8,8.860155834623363,8.9442728176116,8.694532010091844,8.668884984266247,8.59916899321943,8.715275646264612,8.412358137208985,8.57440430902258,9.049031698410024,8.714588975599154,8.96289600533726,8.776433032444734,8.49545533300987,8.873136468833458,8.816023639827996,8.685800019744892,8.859845343921446,8.377644358399907,8.896635141302909,8.741466986401146,8.955068644409758,8.94104760634058,8.534497433738169
ABCB9,9.153045289503783,8.954487147005317,9.445635671399435,9.262094845370179,8.888134388352869,8.594697827323873,9.032872249463233,9.20163386116965,8.43379405875492,8.707013948435046,8.749869427396844,8.985841937003341,8.76983784362944,8.388017285345136,8.605479518061669,9.221828758488533,8.480992103697908,9.002252451731378,8.637711669476824,8.762880292917,8.685099172006606,8.846430632336524,7.824640580853424
ABCC1,9.044120855783266,9.188094263926402,8.98071082890019,8.844234987758751,9.209697043535261,8.965207091199341,9.402798906647083,8.78135971352466,8.806710717965235,9.076548406561894,9.084542673641922,9.113221243479568,9.225207436943501,9.404077136241234,9.161635793237732,9.086401645880029,9.379811543786989,9.007587972319172,9.419749550058496,9.247452864634932,8.595070954195444,9.188588845707349,8.426264754702098
ABCC10,9.98142457503897,9.787086324551616,9.58345891013077,9.70632333327543,9.684748620421626,9.558803340254302,9.968810767551986,9.512740462803498,10.420170774890945,9.451417196403908,9.871597265613852,9.594511227693413,9.45450493755737,10.20053083640641,9.65284497300198,9.793928387027716,9.691917957843984,9.527477006060396,9.841564347730575,9.681414125198751,10.129669401371029,9.682643520280294,9.53430288245463
