gene_name,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
ERF,1.673159034017111,6.753906291431169e-05,0.00043062564544226324,3.3659001098065207,Up
ERG,0.11906455924518156,0.7275146072664928,0.7735073513037095,0.11153555447209314,Not Significant
ERGIC1,0.9716918525210119,1.993295391310561e-05,0.0001834745461576638,3.736424177897123,Not Significant
ERGIC2,0.008041601147265709,0.9620070849994645,0.971165384736407,0.012706805558232274,Not Significant
ERGIC3,1.254045697116453,8.58621328050009e-07,2.1313889295788966e-05,4.671337294275507,Up
ERH,0.7120181592230246,0.006155681305439809,0.013759115480585898,1.8614094842871283,Not Significant
ERI1,1.4012836124273367,0.0018305590688077267,0.005264359708583796,2.2786544434602574,Up
ERI3,-0.3252199184130724,0.022098807047713075,0.039458238603094914,1.403862305349157,Not Significant
ERICH1,0.13225595405074486,0.4768463477356225,0.5428579621526343,0.26531378794831584,Not Significant
ERICH3,-4.187838351034758,1.718306859674425e-05,0.0001656480698981833,3.7808136200745173,Down
ERLEC1,-0.6739763617574361,0.012639406336131427,0.0248060353458383,1.6054426418146233,Not Significant
ERLIN1,0.6903726258893723,0.004968873141781505,0.011597874891173976,1.9356215803925831,Not Significant
ERLIN2,1.0356974445483509,9.719535455489499e-07,2.3202511890663794e-05,4.634464996091765,Up
ERMAP,0.7576046612882763,0.022525922143090658,0.0400575709919674,1.397315388960766,Not Significant
ERMN,-4.267369988020249,0.003938763127646795,0.009649586514570478,2.015491295805194,Down
ERMP1,-0.6340502775156658,0.0020534345134051264,0.005733453239479835,2.2415837251318975,Not Significant
ERP29,0.573849095425274,0.10019165586765276,0.14335622883547708,0.8435834321900736,Not Significant
ERP44,0.0017527833572295037,0.985316488144201,0.9898362885485322,0.004436628492642049,Not Significant
ERRFI1,-0.4650502253399793,0.120123564806266,0.16744496912388596,0.7761278962851025,Not Significant
ESAM,0.5048605281151914,0.12688774353778326,0.17561026630026494,0.7554500985254419,Not Significant
ESD,-0.2106807587381745,0.3552634995878794,0.4234912430302091,0.3731555656000476,Not Significant
ESF1,0.39356116479295267,0.011283189751473577,0.022584314237302765,1.6461930920619356,Not Significant
ESM1,5.456574479115741,0.0016427091500606308,0.004819059981861035,2.317037668089922,Up
ESRRA,0.2084106239117851,0.24864439465936347,0.31306632068471785,0.5043636507718331,Not Significant
ESYT1,-0.22107400688404155,0.1371272424460766,0.18784604846366273,0.7261979363390926,Not Significant
ESYT2,-0.35923227473604413,0.15094460850614513,0.20363037278333287,0.6911574436809999,Not Significant
ETF1,0.16568352242918039,0.310436414275794,0.3782000770848166,0.4222783869729804,Not Significant
ETFA,0.45623957612114907,0.0042830111247170195,0.010301260800943282,1.9871096174907088,Not Significant
ETFB,-0.12231924031071273,0.4190603514535873,0.4861923476538378,0.313191880946952,Not Significant
ETFDH,-0.06292867605720787,0.7982194268154463,0.8358777065265082,0.07785725756787756,Not Significant
ETHE1,1.0738885949316597,1.4639272825731426e-07,7.2292173748244314e-06,5.1409087162867255,Up
ETNK1,-0.5383095709911778,0.005037358907288417,0.011717006149162667,1.931183342157091,Not Significant
ETNK2,0.05350900401978187,0.9209454206227199,0.9392188871586638,0.02723318259314809,Not Significant
