ID_REF,log2_fc,p_value,minus_log_p,Significant
200083_at,0.05752661458763342,0.6874253423215069,0.1627744613935639,No
200084_at,0.08185810561372264,0.5470893513196038,0.261941738353847,No
200085_s_at,0.15656434600178315,0.2822144546361166,0.5494207460461061,No
200086_s_at,0.12341357436224953,0.421164007593531,0.3755487504291472,No
200087_s_at,0.11082325964066086,0.42007547070720885,0.3766726772992477,No
200088_x_at,0.010964908255941097,0.9371577088546933,0.028187318053578544,No
200089_s_at,-0.1373689702688239,0.3094914956036525,0.5093512802889362,No
200090_at,-0.13711834301101078,0.3194824406272459,0.4955530065142105,No
200091_s_at,-0.019093481027553594,0.8942695318017924,0.04853156562002681,No
200092_s_at,0.060524062556881475,0.6573542987946253,0.18220049263533855,No
200093_s_at,0.28125148644175546,0.07507888937884379,1.124482160400813,No
200094_s_at,-0.05571292879524847,0.7101905402434667,0.14862511680971155,No
200095_x_at,-0.0014328631839983785,0.9913552541193338,0.0037706873348589734,No
200096_s_at,0.41364503695334776,0.009920625327114602,2.0034609520841338,No
200097_s_at,-0.00735027879403205,0.9513288877195003,0.021669315419030957,No
200098_s_at,0.009106145384592423,0.9466678076535413,0.02380239123177445,No
200099_s_at,0.0653029417449833,0.6334314680821141,0.19830036522216266,No
200593_s_at,-0.027255235167739755,,,No
200594_x_at,-0.19951988596736037,,,No
200595_s_at,-0.043168580496194764,,,No
200596_s_at,-0.007340818746557787,,,No
200597_at,-0.06678330706112767,,,No
200598_s_at,0.06089531123976322,,,No
200599_s_at,-0.09117727603856274,,,No
200600_at,-0.06051717073392204,,,No
200601_at,0.0680705896008611,,,No
200602_at,-0.050191089526085975,,,No
200603_at,0.09617761831353455,,,No
200604_s_at,0.4624290482316429,,,No
200605_s_at,0.10050030838812418,,,No
200606_at,-0.42041791553151864,,,No
200607_s_at,-0.07920594451630869,,,No
200608_s_at,-0.10582581554644932,,,No
200609_s_at,0.09921272636318079,,,No
200610_s_at,0.05558108881681534,,,No
200611_s_at,0.3549212137598836,,,No
200612_s_at,0.24239912300265587,,,No
200613_at,0.2309190528270726,,,No
200614_at,-0.01945837801776129,,,No
200615_s_at,0.29326933841074165,,,No
200616_s_at,0.015177733789091263,,,No
200617_at,-0.05691396374944091,,,No
200618_at,-0.04556383855655177,,,No
200619_at,-0.07190929801875079,,,No
200620_at,0.16242058054660724,,,No
200621_at,-0.07392588722046689,,,No
200622_x_at,0.1579099672825972,,,No
200623_s_at,-0.18197909832345793,,,No
200624_s_at,0.20384308081607294,,,No
200625_s_at,0.04592988923258012,,,No
200626_s_at,-0.03772664860396269,,,No
200627_at,0.04355852961472806,,,No
200628_s_at,0.5449909464427396,,,No
200629_at,0.16516342927079997,,,No
200630_x_at,-0.09955681707648623,,,No
200631_s_at,-0.09848669104863461,,,No
200632_s_at,0.41072264128419,,,No
200633_at,0.05115688074594438,,,No
200634_at,0.26318903048079,,,No
200635_s_at,0.08967077548901337,,,No
200636_s_at,-0.049373624510806735,,,No
200637_s_at,0.288304181479047,,,No
200638_s_at,0.23907130502964158,,,No
200639_s_at,0.08416311343545502,,,No
200640_at,0.11142921608041867,,,No
200641_s_at,0.4464971679116321,,,No
200642_at,0.09937213691838664,,,No
200643_at,0.3151160273734792,,,No
200644_at,-0.2681006997183992,,,No
200645_at,0.11622187146351948,,,No
200646_s_at,0.3980154992527023,,,No
200647_x_at,0.2001895757399499,,,No
200648_s_at,0.5646029126260856,,,No
200649_at,0.21402484972599645,,,No
200650_s_at,0.15038502858681824,,,No
200651_at,0.14945251003123694,,,No
200652_at,0.20799536391059625,,,No
200653_s_at,-0.12241797148246647,,,No
