Gene Symbol,log2FC,pval,p_adj,neg_log10_p
ACADVL,-0.09050814736750112,0.35954266456485134,0.5388710544586895,0.2685151439721401
ACAN,0.15088882378831592,0.2220109103965867,0.3922174327726604,0.4064731072803812
ACAP1,-0.4440027645015938,0.00196727602838372,0.014402787704363615,1.8415534407208025
ACAP2,0.24929101454785396,0.01806597445404921,0.06905288978935506,1.1608181419469026
ACAP3,-0.42367154526246154,0.08693149256076518,0.20658237265528415,0.6849067388916424
ACAT1,-0.08930652403901007,0.2760978780594107,0.45408449778948273,0.3428633244355365
ACAT2,-0.037176833984213786,0.7723666031344599,0.8677864257075651,0.06158714757671691
ACBD3,0.14726951530487398,0.14219646339365502,0.2901718303125578,0.5373447508701135
ACBD4,-0.11722031556425527,0.3450306127095661,0.5239071210745783,0.2807456984744121
ACBD5,-0.8396046129261201,6.195288142306141e-08,1.3883966794705025e-05,4.857486433670578
ACBD6,0.34537569413087077,0.0025774925306819908,0.01712697127909475,1.766319430558884
ACCS,0.647653599868895,0.021290258082882253,0.0774819819802672,1.1107992786074947
ACD,-0.1512302954906133,0.22820259592309305,0.39964080506725763,0.39833017482344263
ACE,1.0173059131739945,4.562092473485426e-05,0.0010246566673152067,2.9894216296994145
ACE2,-0.29522252450646125,0.05235275276072052,0.1452991925792908,0.8377367990490733
ACER3,-0.21419573581960627,0.14020991186084758,0.28735743391581103,0.5415775632184525
ACHE,0.018141863236229128,0.9408711643296063,0.9688480631357768,0.013744324616357401
ACIN1,0.21235294347483524,0.09331090117508552,0.21692390107202125,0.6636925939894028
ACKR1,-0.04946090285814275,0.8611095242324183,0.9238106208570515,0.034417049068151996
ACKR2,-0.07295423690582226,0.7329875879844401,0.8430315303677469,0.07415618194863151
ACKR3,0.2411431849205279,0.17838230685350195,0.3397834224667671,0.4687978135388714
ACKR4,-0.439319079753024,0.0651518136055587,0.16899148533897965,0.772135176826881
ACLY,0.10320173847831349,0.2292706574730464,0.4010164556031185,0.39683780585612743
ACMSD,0.06263877574614707,0.7531488002070739,0.8562256611528063,0.06741176046566569
ACN9,0.499135159186217,0.00639825225201981,0.03278430576305698,1.484334008473469
ACO1,0.043884932766136586,0.5390191161488802,0.7011648011045285,0.15417989387568473
ACO2,-0.8395254388296909,3.769063277017026e-07,4.268263679132579e-05,4.3697487591503235
ACOT1,-0.052932629491149186,0.7451881206424703,0.8504701509775512,0.07034092425390892
ACOT11,0.22850870549211333,0.17094248790706165,0.32995154737455507,0.48154983058521994
ACOT12,0.5244949791078595,0.19587502845579327,0.3612179197832959,0.4422307127606423
ACOT13,0.026197969502710805,0.7580823841376538,0.8591277524907192,0.0659422516792859
ACOT2,-0.052932629491149186,0.7451881206424703,0.8504701509775512,0.07034092425390892
ACOT4,-0.0758031101033696,0.7601669023843598,0.860368518133499,0.06531548932483856
ACOT6,-0.4250490935365594,0.12201110302977163,0.26117196697203277,0.5830734401179314
ACOT7,-0.17074095499033426,0.30492162250670185,0.4844612942662449,0.3147409149147013
ACOT8,-0.0596212151343245,0.45212901678442075,0.6250131009246359,0.20411087929649085
ACOT9,0.5905498391018948,0.003055193575616584,0.01931840547219396,1.7140287228069453
ACOX1,-0.2081297965519031,0.12657251277661605,0.26789231504266386,0.5720397447062211
ACOX2,0.1711990972375652,0.4507805285700953,0.623837587965245,0.20492846132928993
ACOX3,0.029957312798748248,0.7476238110128394,0.8522207679822026,0.06944788657516696
ACOXL,0.2547572017289168,0.2412054340609863,0.41527281992223825,0.3816664930270806
ACP1,0.12149906789035292,0.022784450764607517,0.08113078387330558,1.090814327914585
ACP2,-0.1529561422103427,0.09283214677072583,0.216070449846808,0.6654046238895208
ACP5,0.2942347538604171,0.2891236248736065,0.46870037109259743,0.3291047026278514
ACP6,-0.03575323442153788,0.8224439820654824,0.9002178524318841,0.04565237871616084
ACPP,0.022114213710985098,0.9033072719580079,0.9478963629766115,0.02323914309209045
ACPT,0.16021760592904855,0.19494851994804993,0.36018866525158233,0.44346995807990996
ACR,-0.41651341491736904,0.012728360485267983,0.05350183509009977,1.271631321608003
ACRBP,-0.18496690154663753,0.33180936422920443,0.5117280173061075,0.29096080458672696
