sample_id,condition,dataset
GTEX-1GMRU-3026-SM-7P8TC,Normal,GTEx
GTEX-1GN1U-0011-R10b-SM-CKZNH,Normal,GTEx
GTEX-1GN1V-0011-R10a-SM-CKZNU,Normal,GTEx
GTEX-1GN1V-3126-SM-7PBZG,Normal,GTEx
GTEX-1GN2E-0011-R10a-SM-CE6RI,Normal,GTEx
GTEX-1GN2E-3026-SM-9WG6I,Normal,GTEx
GTEX-1GN73-0011-R10b-SM-CKZNR,Normal,GTEx
GTEX-1GN73-3126-SM-9KNTY,Normal,GTEx
GTEX-1GTWX-0011-R10b-SM-CJI2X,Normal,GTEx
GTEX-1GZ2Q-0011-R10b-SM-CE6RN,Normal,GTEx
GTEX-1GZ2Q-3226-SM-9WG6L,Normal,GTEx
GTEX-1GZ4I-0011-R10a-SM-9OSX3,Normal,GTEx
GTEX-1GZ4I-3026-SM-9KNTX,Normal,GTEx
GTEX-1GZHY-3126-SM-9QEHH,Normal,GTEx
GTEX-1H1CY-0011-R10a-SM-CE6SD,Normal,GTEx
GTEX-1H1DG-0011-R10b-SM-CE6S7,Normal,GTEx
GTEX-1H1DG-2926-SM-9WYU3,Normal,GTEx
GTEX-1H1ZS-0011-R10b-SM-A9SK9,Normal,GTEx
GTEX-1H1ZS-3026-SM-9KNUJ,Normal,GTEx
GTEX-1H23P-0011-R10a-SM-A96RS,Normal,GTEx
GTEX-1H23P-2926-SM-9WYU8,Normal,GTEx
GTEX-1H2FU-3126-SM-9WYUJ,Normal,GTEx
GTEX-1H3NZ-3026-SM-9JGHW,Normal,GTEx
GTEX-1H3O1-0011-R10a-SM-CJI3O,Normal,GTEx
GTEX-1H3O1-1726-SM-9WYSR,Normal,GTEx
GTEX-1H3VE-0011-R10b-SM-A9SKC,Normal,GTEx
GTEX-1H3VE-2726-SM-9WPP3,Normal,GTEx
GTEX-1H4P4-0011-R10b-SM-CE6SG,Normal,GTEx
GTEX-1HB9E-0011-R10a-SM-CJI3H,Normal,GTEx
GTEX-1HB9E-2926-SM-D4P3S,Normal,GTEx
GTEX-1HBPH-0011-R10a-SM-CE6SI,Normal,GTEx
GTEX-1HBPH-3126-SM-9WYUV,Normal,GTEx
GTEX-1HBPI-0011-R10a-SM-A96RZ,Normal,GTEx
GTEX-1HBPI-2826-SM-ARZNO,Normal,GTEx
GTEX-1HBPM-0011-R10a-SM-CJI3Q,Normal,GTEx
GTEX-1HBPM-2926-SM-CL54E,Normal,GTEx
GTEX-1HCU6-0011-R10a-SM-CKZP8,Normal,GTEx
GTEX-1HCU6-3126-SM-CL54L,Normal,GTEx
GTEX-1HCVE-0011-R10a-SM-ARZLT,Normal,GTEx
GTEX-1HCVE-3026-SM-CL54G,Normal,GTEx
GTEX-1HFI6-0011-R10b-SM-ARZLO,Normal,GTEx
GTEX-1HFI6-3026-SM-CNPPJ,Normal,GTEx
GTEX-1HGF4-0011-R10b-SM-CE6S5,Normal,GTEx
GTEX-1HGF4-3126-SM-CL54M,Normal,GTEx
GTEX-1HR98-3026-SM-CNPPK,Normal,GTEx
GTEX-1HR9M-0011-R10a-SM-CM2SU,Normal,GTEx
GTEX-1HSKV-0011-R10b-SM-CMKH6,Normal,GTEx
GTEX-1HSKV-3026-SM-A96SL,Normal,GTEx
GTEX-1HSMO-0011-R10a-SM-CL54Y,Normal,GTEx
GTEX-1HSMO-3026-SM-A9G3F,Normal,GTEx
GTEX-1HT8W-3026-SM-CGQEO,Normal,GTEx
GTEX-1HUB1-2926-SM-ACKXA,Normal,GTEx
GTEX-1I19N-3026-SM-CL55E,Normal,GTEx
GTEX-1I1CD-0011-R10b-SM-CJI3W,Normal,GTEx
GTEX-1I1CD-3026-SM-B2LY2,Normal,GTEx
GTEX-1I1GQ-3026-SM-CL55K,Normal,GTEx
GTEX-1I1GR-2926-SM-CNNQG,Normal,GTEx
GTEX-1I1GV-0011-R10a-SM-CE6S6,Normal,GTEx
GTEX-1I1GV-3126-SM-A96SF,Normal,GTEx
GTEX-1I1HK-0011-R10b-SM-CJI3M,Normal,GTEx
GTEX-1I1HK-2826-SM-CKZPL,Normal,GTEx
GTEX-1ICLZ-0011-R10a-SM-A9SM2,Normal,GTEx
GTEX-1ICLZ-2826-SM-CL53U,Normal,GTEx
GTEX-1IDFM-2826-SM-ACKWJ,Normal,GTEx
GTEX-1IDJH-0011-R10a-SM-ARZLK,Normal,GTEx
GTEX-1IDJH-3026-SM-CL53B,Normal,GTEx
GTEX-1IKJJ-2926-SM-A9G2N,Normal,GTEx
GTEX-1IKK5-0011-R10b-SM-CE6SP,Normal,GTEx
GTEX-1IKK5-2926-SM-ARU7Q,Normal,GTEx
GTEX-1IL2U-3026-SM-C1YSH,Normal,GTEx
GTEX-1IL2V-0011-R10a-SM-CL55A,Normal,GTEx
GTEX-1IOXB-0011-R10a-SM-D3L8I,Normal,GTEx
GTEX-1IOXB-3126-SM-CKZO1,Normal,GTEx
GTEX-1IY9M-3026-SM-A9G37,Normal,GTEx
GTEX-1J1OQ-0011-R10a-SM-A9G1Y,Normal,GTEx
GTEX-1J1OQ-3226-SM-A9G2Q,Normal,GTEx
GTEX-1J8Q2-0011-R10b-SM-D4P2C,Normal,GTEx
GTEX-1J8Q2-3026-SM-CKZN8,Normal,GTEx
GTEX-1JJ6O-3126-SM-CNNP8,Normal,GTEx
GTEX-1JJE9-2926-SM-CY8HV,Normal,GTEx
GTEX-1JJEA-2826-SM-ARU8R,Normal,GTEx
GTEX-1JMLX-2926-SM-CL54C,Normal,GTEx
GTEX-1JMOU-2726-SM-CY8IO,Normal,GTEx
GTEX-1JMPZ-2726-SM-ARZNF,Normal,GTEx
GTEX-1JMQK-3026-SM-ARL95,Normal,GTEx
GTEX-1JMQL-2826-SM-ARU91,Normal,GTEx
GTEX-1KD4Q-2926-SM-D3L9N,Normal,GTEx
GTEX-1KWVE-2326-SM-D4P3N,Normal,GTEx
GTEX-1LC47-0011-R10b-SM-EYYWE,Normal,GTEx
GTEX-1LC47-2926-SM-CXZKC,Normal,GTEx
GTEX-1LG7Y-3026-SM-D5OVI,Normal,GTEx
GTEX-1LKK1-3126-SM-EWRNY,Normal,GTEx
GTEX-1M4P7-2726-SM-E9TJQ,Normal,GTEx
GTEX-1N2DW-2826-SM-E9TK5,Normal,GTEx
GTEX-1N5O9-2926-SM-EXUSN,Normal,GTEx
GTEX-1NV5F-3226-SM-EXUSL,Normal,GTEx
GTEX-1NV8Z-3126-SM-E76R3,Normal,GTEx
GTEX-1O9I2-3026-SM-E76PX,Normal,GTEx
GTEX-1OJC4-2826-SM-E6CQX,Normal,GTEx
GTEX-1PIIG-2726-SM-E76PQ,Normal,GTEx
GTEX-1PPGY-3126-SM-EXUSR,Normal,GTEx
GTEX-1PWST-3126-SM-EXUSE,Normal,GTEx
GTEX-1QMI2-3126-SM-EXUT5,Normal,GTEx
