Name,Description,GTEX-NPJ7,GTEX-P44H,GTEX-Q2AG,GTEX-QVJO,GTEX-UTHO,GTEX-WVLH,GTEX-Y8DK
ENSG00000120942,UBIAD1,582,338,740,336,210,740,321
ENSG00000238199,UBE2V2P3,0,1,0,0,1,0,0
ENSG00000224338,MTCYBP45,0,0,0,0,0,0,0
ENSG00000204624,DISP3,671,228,990,299,410,558,508
ENSG00000235643,LINC01647,0,0,2,1,0,2,0
ENSG00000116661,FBXO2,5068,3993,10071,4237,13061,9991,8855
ENSG00000132879,FBXO44,9171,5580,15164,5827,12299,17182,10261
ENSG00000116663,FBXO6,509,238,562,247,423,731,362
ENSG00000116670,MAD2L2,861,463,703,340,1167,827,584
ENSG00000162490,DRAXIN,137,75,237,66,164,131,117
ENSG00000177674,AGTRAP,710,289,232,229,414,274,145
ENSG00000215910,C1orf167,2,1,3,0,0,1,2
ENSG00000177553,RP11-56N19.5,0,1,0,0,0,0,0
ENSG00000177000,MTHFR,1845,1222,2652,1301,1735,3489,1386
ENSG00000011021,CLCN6,5494,2728,9182,3712,4352,10565,4952
ENSG00000242349,NPPA-AS1,17,22,13,9,47,24,16
ENSG00000175206,NPPA,71,76,172,29,141,204,59
ENSG00000120937,NPPB,10,2,12,0,8,2,2
ENSG00000224904,RP5-934G17.6,1,1,9,3,2,0,0
ENSG00000199347,RNU5E-1,0,0,0,0,0,0,0
ENSG00000201801,RNU5E-4P,0,0,0,0,0,0,0
ENSG00000116685,KIAA2013,1528,929,2102,965,2196,2339,1296
ENSG00000083444,PLOD1,2379,852,3197,1495,3140,2621,1450
ENSG00000116688,MFN2,9815,6119,16473,6665,8417,18086,8930
ENSG00000270914,RP5-1077B9.5,0,0,0,0,0,0,0
ENSG00000116691,MIIP,1016,656,986,492,1271,1229,670
ENSG00000202461,Y_RNA,0,0,1,0,0,1,0
ENSG00000276869,MIR6729,0,0,0,0,0,0,0
ENSG00000243539,RN7SL649P,0,0,0,0,0,0,0
ENSG00000120949,TNFRSF8,2,2,3,10,7,6,2
ENSG00000201135,RNU6-777P,0,0,0,0,0,0,0
ENSG00000227875,RPL23AP89,0,0,0,0,0,0,0
ENSG00000283789,MIR7846,0,0,0,0,0,0,0
